POS,word,tags
MC1  ,One,N1
NNU1 ,dollar,I1 
CC   ,and,Z5 
MC   ,eighty-seven,N1 
NNU2 ,cents,I1 
0,0,
DD1  ,That,Z8
VBDZ ,was,A3+
DB   ,all,N5.1+ 
0,0,
CC   ,And,Z5 
MC   ,sixty,N1
NNU2 ,cents,I1 
IO   ,of,Z5 
PPH1 ,it,Z8 
VBDZ ,was,A3+
II   ,in,Z5 
NNU2 ,pennies,I1 
0,0,
NP2  ,Pennies,I1 
VVD  ,saved,I1.1 B3 A9+ S8+ A1.9 K5.1 S9 
MC1  ,one,N1
CC   ,and,Z5 
MC   ,two,N1 T3 T1.2 
II   ,at,T1.1.2[i1.3.1 Z5 
AT1  ,a,T1.1.2[i1.3.2 Z5 
NNT1 ,time,T1.1.2[i1.3.3 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@ 
II   ,by,Z5 
VVG  ,bulldozing,A1.1.2 
AT   ,the,Z5 
NN1  ,grocer,F1/S2mf 
CC   ,and,Z5 
AT   ,the,Z5 
NN1  ,vegetable,F1 X9.1-/S2mf 
NN1  ,man,S2.2m 
CC   ,and,Z5 
AT   ,the,Z5 
NN1  ,butcher,F1/S2mf L1-/S2mf 
CS   ,until,Z5 
PN1  ,one,Z8 
GE   ,'s,Z5 
NN2  ,cheeks,B1 S1.2.4- 
VVN  ,burned,O4.6+ A1.5.1 
IW   ,with,Z5 
AT   ,the,Z5 
JJ   ,silent,X3.2- A10- 
NN1  ,imputation,Q2.2 G2.1 A2.2/Q2.2 
IO   ,of,Z5 
NN1  ,parsimony,I1.3- 
CST  ,that,Z5 Z8 
DA   ,such,Z5 Z8 
JJ   ,close,N3.3- A4.2+ S5+ S1.1.3+ A6.1+ E2+ W4 
NN1@ ,dealing,A1.1.1 I2.2 I2.1 A9- K5.2 F3/I2.2 
VVD  ,implied,Q1.1 
0,0,
MC   ,Three,N6+[i2.2.1 A13.3[i2.2.1 N1 T1.2 T3 
NNT2 ,times,N6+[i2.2.2 A13.3[i2.2.2 T1 T1.2 T1.3 T1.1.2 N6 N1 
NP1  ,Della,Z99 
VVD  ,counted,N2 A11.1+ 
PPH1 ,it,Z8 
0,0,
MC1  ,One,N1 T3 T1.2 
NNU1 ,dollar,I1 
CC   ,and,Z5 
NN1  ,eighty-,N1 T3 N3.2+ N5+ A11.1+ 
MC   ,seven,N1 T3 T1.2 
NNU2 ,cents,I1 
0,0,
CC   ,And,Z5 
AT   ,the,Z5 
MD   ,next,T1.1.3[i3.2.1 N4 
NNT1 ,day,T1.1.3[i3.2.2 T1.3 
VM   ,would,A7+ 
VBI  ,be,A3+ Z5 
NNT1 ,Christmas,S9/T1.3 
0,0,
EX   ,There,Z5 
VBDZ ,was,A3+ Z5 
RR   ,clearly,A7+ A11.2+ A12+ 
PN1  ,nothing,Z6/Z8 
TO   ,to,Z5 
VDI  ,do,A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5 
CCB  ,but,Z5 
VV0@ ,flop,M1 
RP   ,down,Z5 M6 N4 N5-- E4.1- S7.1- N3.1 Q1.2 O1.1 L2 Z1mf F1/B1 A1.1.1 
II   ,on,Z5 
AT   ,the,Z5 
JJ   ,shabby,O4.2- 
JJ   ,little,N3.2- T3- N3.7- N3.3- T1.3- A11.1- 
NN1  ,couch,H5 
CC   ,and,Z5 
NN1  ,howl,E4.1- Q2.2 X3.2 
0,0,
RR   ,So,Z5 A13.3 
NP1  ,Della,Z99 
VDD  ,did,A1.1.1 G2.2- X9.2+ E3- G2.1% Z5 
PPH1 ,it,Z8 
0,0,
DDQ  ,Which,Z5 Z8 
VVZ  ,instigates,T2+ 
AT   ,the,Z5 
JJ   ,moral,G2.2+ E1 
NN1  ,reflection,X3.4 Y1/M2 A2.2/A10+ X2.1 
CST  ,that,Z5 Z8 
NN1  ,life,L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1 
VBZ  ,is,Z5 A3+ 
VVN  ,made,A5.2-[i4.2.1 B4[i4.2.1 N5[i4.2.1 S3.1[i4.2.1 A1.8+[i4.2.1 A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+ 
RP   ,up,A5.2-[i4.2.2 B4[i4.2.2 N5[i4.2.2 S3.1[i4.2.2 A1.8+[i4.2.2 
IO   ,of,Z5 
NN2  ,sobs,E4.1- 
,    ,,,
VVZ  ,sniffles,B1 B2- 
,    ,,,
CC   ,and,Z5 
NN2  ,smiles,E4.1+ 
,    ,,,
IW   ,with,Z5 
NN2@ ,sniffles,B2- 
VVG  ,predominating,N5++ A11.1+ A11.2+ 
0,0,
CS   ,While,Z5 
AT   ,the,Z5 
NN1  ,mistress,S7.1+/S2.1f S3.2/S2.1f P1/S2.1f 
IO   ,of,Z5 
